Avg,BMI,BMI Rating,HR,Handedness,Height,Name,Ratio,Weight
0.275,21.5204081633,Healthy,138,Right,70,Jose Cardenal,5.01818181818,150
0.248,25.6756756757,Overweight,414,Left,74,Darrell Evans,16.6935483871,200
0.225,27.2591836735,Overweight,58,Right,70,Buck Martinez,2.57777777778,190
0.262,25.7658179012,Overweight,86,Right,72,John Wockenfuss,3.28244274809,190
0.246,24.8165509259,Healthy,75,Left,72,Tommy McCraw,3.0487804878,183
0.286,23.0859448302,Healthy,91,Right,73,Lee Lacy,3.18181818182,175
0.303,26.775639754,Overweight,160,Both,71,Pete Rose,5.28052805281,192
0.224,27.6013513514,Overweight,63,Right,74,Jeff Newman,2.8125,215
0.252,23.9957333333,Healthy,159,Right,75,Jim Hickman,6.30952380952,192
0.253,25.0647401013,Overweight,108,Left,73,Fred Whitfield,4.26877470356,190
0.236,24.2652859961,Healthy,442,Right,78,Dave Kingman,18.7288135593,210
0.264,26.0783574688,Overweight,102,Right,71,Eric Soderholm,3.86363636364,187
0.224,23.0536265432,Healthy,60,Right,72,Ed Brinkman,2.67857142857,170
0.239,24.4048799841,Healthy,61,Left,71,Wayne Garrett,2.55230125523,175
0.255,25.7994445547,Overweight,87,Right,71,Bo Diaz,3.41176470588,185
0.255,27.7999614198,Overweight,63,Left,72,Pat Putnam,2.47058823529,205
0.279,25.7243385251,Overweight,185,Left,73,Chris Chambliss,6.63082437276,195
0.266,25.6756756757,Overweight,144,Right,74,Jeffrey Leonard,5.41353383459,200
0.269,26.5418367347,Overweight,77,Right,70,Rich Rollins,2.8624535316,185
0.271,27.2591836735,Overweight,66,Right,70,Merv Rettenmund,2.43542435424,190
0.252,25.7658179012,Overweight,50,Right,72,Joe Azcue,1.98412698413,190
0.257,23.0859448302,Healthy,78,Right,73,Julian Javier,3.03501945525,175
0.282,25.5592105263,Overweight,246,Both,76,Ken Singleton,8.72340425532,210
0.255,23.0103154136,Healthy,160,Right,71,Frank White,6.27450980392,165
0.246,23.6724489796,Healthy,71,Right,70,Tom Brookens,2.88617886179,165
0.249,23.7455432539,Healthy,61,Left,73,Gary Thomasson,2.44979919679,180
0.251,23.0536265432,Healthy,78,Right,72,Otto Velez,3.10756972112,170
0.283,25.8401596303,Overweight,67,Left,69,Floyd Robinson,2.36749116608,175
0.293,23.7075976989,Healthy,149,Left,71,Lou Brock,5.08532423208,170
0.251,23.7316743827,Healthy,210,Right,72,Rico Petrocelli,8.36653386454,175
0.248,23.7457777778,Healthy,156,Right,75,Ken McMullen,6.29032258065,190
0.268,25.9881778945,Overweight,86,Left,73,Willie Crawford,3.20895522388,197
0.223,26.1200975793,Overweight,65,Left,73,Joe Lahoud,2.91479820628,198
0.304,23.0859448302,Healthy,220,Left,73,Tony Oliva,7.23684210526,175
0.256,23.7457777778,Healthy,91,Right,75,Cito Gaston,3.5546875,190
0.263,22.9551020408,Healthy,54,Right,70,Cookie Rojas,2.05323193916,160
0.27,24.4051416776,Healthy,121,Right,73,Dan Ford,4.48148148148,185
0.243,23.7455432539,Healthy,98,Right,73,Ozzie Virgil,4.0329218107,180
0.277,25.7658179012,Overweight,342,Right,72,Ron Santo,12.3465703971,190
0.267,23.0859448302,Healthy,102,Left,73,Jay Johnstone,3.8202247191,175
0.278,25.7994445547,Overweight,170,Right,71,Jim Ray Hart,6.11510791367,185
0.255,23.7316743827,Healthy,58,Right,72,Ken Berry,2.27450980392,175
0.267,19.8986486486,Healthy,101,Right,74,Dave Concepcion,3.78277153558,155
0.281,25.8455882353,Overweight,54,Left,68,Al Bumbry,1.92170818505,170
0.261,25.6204444444,Overweight,118,Left,75,Ed Kranepool,4.52107279693,205
0.278,24.3897959184,Healthy,130,Left,70,Jorge Orta,4.67625899281,170
0.286,25.1018693552,Overweight,103,Left,69,Tony Gonzalez,3.6013986014,170
0.247,25.6204444444,Overweight,121,Right,75,Gary Roenicke,4.8987854251,205
0.238,25.0337837838,Overweight,122,Right,74,Don Lock,5.12605042017,195
0.279,22.4662162162,Healthy,379,Right,74,Tony Perez,13.5842293907,175
0.29,25.1021622694,Overweight,191,Right,71,Hal McRae,6.58620689655,180
0.251,24.4097222222,Healthy,74,Both,72,Jim Lefebvre,2.94820717131,180
0.246,26.8702222222,Overweight,65,Right,75,Charlie Spikes,2.64227642276,215
0.257,23.1081081081,Healthy,122,Both,74,Ken Henderson,4.74708171206,180
0.233,26.9594594595,Overweight,121,Left,74,Wayne Gross,5.19313304721,210
0.225,21.9078947368,Healthy,50,Right,76,Paul Casanova,2.22222222222,180
0.247,24.4051416776,Healthy,65,Right,73,Lou Clinton,2.63157894737,185
0.243,24.3918918919,Healthy,173,Right,74,Nate Colbert,7.11934156379,190
0.264,23.7455432539,Healthy,113,Right,73,Chuck Hinton,4.2803030303,180
0.274,23.7455432539,Healthy,348,Right,73,George Foster,12.700729927,180
0.277,24.4051416776,Healthy,147,Left,73,Leon Durham,5.30685920578,185
0.237,25.8244897959,Overweight,124,Right,70,Aurelio Rodriguez,5.23206751055,180
0.284,23.0536265432,Healthy,165,Left,72,Jose Cruz,5.80985915493,170
0.258,24.2635135135,Healthy,166,Right,74,Bill Robinson,6.43410852713,189
0.254,26.4438657407,Overweight,242,Right,72,Sal Bando,9.52755905512,195
0.236,25.0337837838,Overweight,76,Right,74,George Mitterwald,3.22033898305,195
0.232,24.9506578947,Healthy,79,Right,76,Bob Tillman,3.40517241379,205
0.244,22.1487082546,Healthy,70,Right,69,Glenn Hubbard,2.86885245902,150
0.278,24.3706666667,Healthy,267,Right,75,George Hendrick,9.60431654676,195
0.328,23.0536265432,Healthy,92,Left,72,Rod Carew,2.80487804878,170
0.264,23.7316743827,Healthy,195,Right,72,Toby Harrah,7.38636363636,175
0.257,23.7455432539,Healthy,56,Left,73,Rick Manning,2.17898832685,180
0.281,23.75,Healthy,234,Right,74,Gary Matthews,8.32740213523,185
0.258,22.3755787037,Healthy,51,Left,72,Cesar Geronimo,1.97674418605,165
0.283,24.4051416776,Healthy,306,Left,73,Fred Lynn,10.8127208481,185
0.273,24.777027027,Healthy,166,Right,74,Larry Hisle,6.08058608059,193
0.248,24.4097222222,Healthy,390,Left,72,Graig Nettles,15.7258064516,180
0.293,25.7658179012,Overweight,118,Left,72,Mike Easler,4.02730375427,190
0.292,26.4967268399,Overweight,113,Right,71,Thurman Munson,3.8698630137,190
0.264,24.1207111111,Healthy,241,Left,75,Rick Monday,9.12878787879,193
0.255,28.4780092593,Overweight,50,Left,72,Tony Solaita,1.96078431373,210
0.248,29.1560570988,Overweight,58,Right,72,Joe Foy,2.33870967742,215
0.244,25.7243385251,Overweight,77,Right,73,Leroy Stanton,3.15573770492,195
0.247,23.0859448302,Healthy,59,Right,73,Adolfo Phillips,2.38866396761,175
0.247,24.5443364412,Healthy,197,Left,71,Dick McAuliffe,7.97570850202,176
0.26,24.4048799841,Healthy,112,Right,71,Jim Morrison,4.30769230769,175
0.236,22.4263464065,Healthy,56,Right,73,Bobby Knoop,2.37288135593,170
0.282,26.1677631579,Overweight,86,Right,76,Tom Paciorek,3.04964539007,215
0.261,26.3839369488,Overweight,240,Right,73,Jeff Burroughs,9.19540229885,200
0.279,24.3918918919,Healthy,292,Left,74,Rusty Staub,10.4659498208,190
0.265,22.3130331283,Healthy,200,Left,71,Oscar Gamble,7.54716981132,160
0.25,22.7824074074,Healthy,134,Right,72,Paul Blair,5.36,168
0.27,25.9881778945,Overweight,108,Right,73,Al Cowens,4.0,197
0.303,26.4438657407,Overweight,219,Left,72,Al Oliver,7.22772277228,195
0.263,23.7457777778,Healthy,256,Right,75,Larry Parrish,9.73384030418,190
0.263,25.7658179012,Overweight,77,Left,72,Milt May,2.92775665399,190
0.25,24.9955555556,Healthy,122,Right,75,Nick Esasky,4.88,200
0.257,24.4051416776,Healthy,163,Both,73,Roy Smalley,6.34241245136,185
0.287,26.3839369488,Overweight,207,Right,73,Richie Zisk,7.21254355401,200
0.26,25.0647401013,Overweight,338,Right,73,Don Baylor,13.0,190
0.239,23.7316743827,Healthy,73,Left,72,Bernie Allen,3.05439330544,175
0.278,25.7658179012,Overweight,164,Left,72,Claudell Washington,5.89928057554,190
0.253,26.8702222222,Overweight,255,Left,75,John Mayberry,10.0790513834,215
0.26,24.4097222222,Healthy,68,Right,72,Ken Reitz,2.61538461538,180
0.277,23.0103154136,Healthy,193,Right,71,Amos Otis,6.96750902527,165
0.254,22.9551020408,Healthy,55,Right,70,Gene Alley,2.16535433071,160
0.254,24.4051416776,Healthy,98,Left,73,Pete Ward,3.85826771654,185
0.239,25.2905405405,Overweight,100,Left,74,Duke Sims,4.18410041841,197
0.259,22.4662162162,Healthy,91,Left,74,Mike Davis,3.51351351351,175
0.228,25.7658179012,Overweight,102,Right,72,Steve Yeager,4.47368421053,190
0.295,23.6724489796,Healthy,61,Left,70,Mickey Rivers,2.06779661017,165
0.267,23.7457777778,Healthy,153,Left,75,Jim Northrup,5.73033707865,190
0.285,24.4048799841,Healthy,452,Left,71,Carl Yastrzemski,15.8596491228,175
0.287,27.6013513514,Overweight,64,Right,74,Lamar Johnson,2.22996515679,215
0.296,26.1726466049,Overweight,65,Right,72,Manny Sanguillen,2.19594594595,193
0.257,30.6804205515,Obese,84,Left,71,Gates Brown,3.26848249027,220
0.29,23.7075976989,Healthy,53,Both,71,Johnny Ray,1.8275862069,170
0.268,23.6724489796,Healthy,91,Left,70,Ken Landreaux,3.39552238806,165
